,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
89,Polo & Pan,Attrape-rêve,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:0aTaTaROrLwQokUSudVKIe,0.166,0.769,224747.0,0.641,0.507,9.0,0.0983,-8.408,0.0,0.0505,149.003,4.0,0.877
90,Polo & Pan,Nanã,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:0Psz3az3RIYfJpnsajBT8N,0.191,0.685,190827.0,0.735,0.038,4.0,0.188,-6.337,0.0,0.0334,94.035,3.0,0.385
91,Polo & Pan,Pili Pili,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:74N9cnVOhruZpoZUt4Ky5z,0.306,0.745,250333.0,0.892,0.939,5.0,0.115,-6.823,0.0,0.0349,116.003,4.0,0.257
92,Polo & Pan,Canopée,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:260V7huyJrXnyYe0dFv2Fa,0.0942,0.704,276293.0,0.692,0.0109,5.0,0.0922,-6.558,0.0,0.0304,96.005,4.0,0.369
93,Polo & Pan,Peter Pan,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:7CIkvtqLxM5mwDaItJDVuP,0.726,0.709,237680.0,0.327,0.0246,5.0,0.0851,-13.404,1.0,0.0327,126.057,4.0,0.438
94,Polo & Pan,Gengis Edit,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lTn1zyy0duOEeypiqzmcr,spotify:track:1pYSFtyZaRyP4bwazfm5cy,0.391,0.682,231934.0,0.582,0.856,5.0,0.0872,-8.798,0.0,0.0439,121.998,4.0,0.111
95,Polo & Pan,Arc-en-ciel,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:2oM0352CT43WHNwS8a6OPo,spotify:track:1gWZZyQPb8KxMLS88wCdGR,0.0654,0.777,231307.0,0.588,0.000276,7.0,0.091,-7.903,0.0,0.0354,115.985,4.0,0.451
96,Polo & Pan,Dorothy,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lJXrA1jzqGVpLUyLIYXLK,spotify:track:2GuIRSthEpYN5MO6PGD7Vx,0.0245,0.803,316373.0,0.427,0.405,8.0,0.0953,-10.819,1.0,0.0509,118.008,4.0,0.439
97,Corine,Pluie fine Polo Pan Remix,spotify:artist:6vs7gfG3OVDyBiY7loLsyQ,spotify:album:6mM9jFuElvjw45AfSHNf0c,spotify:track:33F1mJbbdTdmZuSI5zxoSw,0.383,0.849,238081.0,0.7,0.731,8.0,0.0955,-8.064,0.0,0.0625,118.011,4.0,0.215
98,Yuksek,Cadenza Edit,spotify:artist:2ePIzx9NjxplS724QMZtsf,spotify:album:4SDT1aWAajt4ICuwa1sfiN,spotify:track:2eurAydCrpvsrW2nwaKDez,0.361,0.728,221509.0,0.809,0.941,11.0,0.128,-7.639,1.0,0.0437,116.002,4.0,0.528
