,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
372,Mijangos,Aqui Se Baila Afro Latin Mix,spotify:artist:55Y97uxwaGhvalkzZbxyzf,spotify:album:3o6A4t7AhdwGc0IZ1BUgzr,spotify:track:6jo8xMFaWUqRzqb9WisxAS,,,,,,,,,,,,,
374,Mark Alow,White Tusk Original,spotify:artist:6PyLXrrBcpRRD0ej5pRtRU,spotify:album:3pw51YF7EcY4KjiEaXYPgx,spotify:track:5MNG30HnVmfLYxkKe5n1Zn,,,,,,,,,,,,,
394,Gregor Salto,La Diosa Misteriosa,spotify:artist:0l59CBSPDfKBXlyHya0pew,spotify:album:7mLz6VhIRzK6yCAFf5Dzk4,spotify:track:6UdXuA5ysTBxHmKG7yqPeY,,,,,,,,,,,,,
395,Gianni Romano,A Pila el Arro,spotify:artist:3GmVE58jiOKqS4WHGsxzCK,spotify:album:3Ig4RIUZM743R9fb4hMKaE,spotify:track:1qADoJiMDPI1wE9pK8z1Ub,,,,,,,,,,,,,
396,Jude & Frank,La Luna,spotify:artist:7rUJV3QhhZJVRucw5BK09x,spotify:album:381yLdcWTEPn9cJiXfY2yZ,spotify:track:7paxGKlpBxCtjqt3OXEvtg,,,,,,,,,,,,,
397,Leandro Da Silva,Ontas (Te Pago El Uber),spotify:artist:5hCv8oMMxHb3FoHMGLN8Vx,spotify:album:2dSHgJdfbSWE41uhhxIwIi,spotify:track:1WoYl4FAEAv4Sy0kTCRle4,,,,,,,,,,,,,
398,Martina Camargo,Me Robaste El Sueño Tambora,spotify:artist:2vGRgVlsY6BB9PyESPm6IH,spotify:album:34QPzQBS1xdOkxLh4btGpA,spotify:track:0zIAV4bCfP2SrihxJcZFAw,,,,,,,,,,,,,
399,Antoine Clamaran,Dancin,spotify:artist:2LTa2TleomBhi05k8khxCF,spotify:album:6IPe0lqWrgGp5DRolqT9OO,spotify:track:1bNLAp0OLKBIqLqZze8OZo,,,,,,,,,,,,,
400,DJ Dark,Clandestina,spotify:artist:5IRiBpTO8LDFHarNWYVkdn,spotify:album:7o8HvndcnMGEiZFEu9IPEk,spotify:track:6snuKeeM9VSeJx1uYddMzB,,,,,,,,,,,,,
401,Madonna,Hung Up,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,spotify:album:1hg0pQJLE9dzfT1kgZtDPr,spotify:track:3850dYVgOFIXJh5U4BFEWH,,,,,,,,,,,,,
402,TWR72,X-Static Original Mix,spotify:artist:3xppiQ1WFn0sPv4ZQJjqzO,spotify:album:4FFXlh1ZZBTD36ezsB6EIr,spotify:track:5MIpupid3bBL0ZdYlDShdu,,,,,,,,,,,,,
403,TWR72,Fantazia Original Mix,spotify:artist:3xppiQ1WFn0sPv4ZQJjqzO,spotify:album:4FFXlh1ZZBTD36ezsB6EIr,spotify:track:1FGmhZ5bRzW7q2BgpZ5hVH,,,,,,,,,,,,,
404,TWR72,Pulsation Original Mix,spotify:artist:3xppiQ1WFn0sPv4ZQJjqzO,spotify:album:4FFXlh1ZZBTD36ezsB6EIr,spotify:track:3q656Wya6EEjtbTy22qX6N,,,,,,,,,,,,,
406,Les Gordon,L.E.D,spotify:artist:4UqXejsLj7uwZmzQ9vkmg8,spotify:album:66HiYytoZsMOjDl5qEiZm4,spotify:track:00CpMtmeRIxrE3CpBdjA6E,,,,,,,,,,,,,
407,Bon Entendeur,"Lamour, lamour, lamour",spotify:artist:2lwjwKfYZCuPEJOo8t32CD,spotify:album:2i05vSN6Qp14HGI4fc1M14,spotify:track:6OGpURRDL26WAeouxgnfX9,,,,,,,,,,,,,
414,EDX,Szeplo Arston Remix,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6zTanZB3nFP7WhZVPhOQYB,spotify:track:2frsXomR4jT08i7KKGNOMm,,,,,,,,,,,,,
415,EDX,Off The Grid,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3LtRLIjbYcaQfvr1yUZPyA,spotify:track:5STtg0bZXSoWfF20qWGxeV,,,,,,,,,,,,,
418,EDX,Who Cares,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3QWZYZUeD85cj7GswsKXtJ,spotify:track:7Ipab56QLTyTR54rzQCJLr,,,,,,,,,,,,,
419,EDX,Feel the Rush,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:1LmOJwY0K6Z0P3Fr6CSeEj,spotify:track:3gFGqm3n4eyFCHdlUip7xb,,,,,,,,,,,,,
420,EDX,Indian Summer,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6TFxvvkuIY7EiFZpcP8bS0,spotify:track:3YZJIHIX3kPd5wLwKLWIZA,,,,,,,,,,,,,
421,EDX,Anthem,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:2q2m0VrrP9ZOuH7cpPKXgm,spotify:track:1SSAvErVyid5OXzmtGZKkg,,,,,,,,,,,,,
423,EDX,Missing (feat. Mingue),spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3VLV9CBsyMqBqBw4TQlt0t,spotify:track:2qCKVLeanphs1pxxvH3XNR,,,,,,,,,,,,,
424,EDX,Air for Life,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:0AxbmfoYue7SvaYRW6Tt3n,spotify:track:37iRYJhmxyfaz9qXDB2Env,,,,,,,,,,,,,
425,EDX,Runnin,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3bFzpTrer9FCDl1ITosmAg,spotify:track:38xh0iuhkYiymc1cm3HhD1,,,,,,,,,,,,,
426,EDX,Jaded,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:40CO9LfQW86VAOhH9g7Ndq,spotify:track:1G2o8smHvvzpxwOWyLW2o1,,,,,,,,,,,,,
428,EDX,Breathin,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3yPm81IIjaEw7RVwACe8M7,spotify:track:3mQ4QRCz4qaS1OwJ5J165M,,,,,,,,,,,,,
429,EDX,High On You,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6t9BJMpfFgfhNtns1iVIMI,spotify:track:73h9mT3TWPgNT6zO1700dR,,,,,,,,,,,,,
